Sample,Strain
Fawn_1,Fawn
Fawn_10,Fawn
Fawn_11,Fawn
Fawn_12,Fawn
Fawn_13,Fawn
Fawn_2,Fawn
Fawn_3,Fawn
Fawn_4,Fawn
Fawn_5,Fawn
Fawn_6,Fawn
Fawn_6,Fawn
Fawn_7,Fawn
Fawn_8,Fawn
Fawn_9,Fawn
Jacks_1,Jacks
Jacks_10,Jacks
Jacks_11,Jacks
Jacks_12,Jacks
Jacks_13,Jacks
Jacks_14,Jacks
Jacks_2,Jacks
Jacks_3,Jacks
Jacks_4,Jacks
Jacks_5,Jacks
Jacks_6,Jacks
Jacks_7,Jacks
Jacks_8,Jacks
Jacks_8,Jacks
Jacks_9,Jacks
Keithly_1,Keithly
Keithly_10,Keithly
Keithly_11,Keithly
Keithly_12,Keithly
Keithly_13,Keithly
Keithly_2,Keithly
Keithly_3,Keithly
Keithly_4,Keithly
Keithly_5,Keithly
Keithly_6,Keithly
Keithly_7,Keithly
Keithly_8,Keithly
Keithly_9,Keithly